wro4j(12),a-index,inDeg,outDeg,allDeg,inWDeg,outWDeg,allWDeg,ForwardBackPageRank-Sora,ForwardPageRank-Sora,inDeg-core,outDeg-core,g-core,g-core-Right,h-index,k-core,LiuPageRank,TSEPageRank,TSEPageRank_v15
5%,0.0,0.3472222222222222,0.06944444444444445,0.3472222222222222,0.2777777777777778,0.06944444444444445,0.20833333333333331,0.24305555555555555,0.24305555555555555,0.2777777777777778,0.0,0.1736111111111111,0.3819444444444444,0.2777777777777778,0.2777777777777778,0.24305555555555555,0.2777777777777778,0.41666666666666663
10%,0.0,0.1736111111111111,0.034722222222222224,0.1909722222222222,0.1909722222222222,0.034722222222222224,0.15625,0.15625,0.15625,0.1736111111111111,0.034722222222222224,0.1736111111111111,0.1909722222222222,0.1909722222222222,0.1909722222222222,0.1909722222222222,0.20833333333333331,0.20833333333333331
15%,0.0,0.1273148148148148,0.023148148148148147,0.1273148148148148,0.1273148148148148,0.03472222222222222,0.1273148148148148,0.10416666666666666,0.10416666666666666,0.1273148148148148,0.023148148148148147,0.11574074074074073,0.1273148148148148,0.1273148148148148,0.1273148148148148,0.1273148148148148,0.13888888888888887,0.13888888888888887
20%,0.0,0.0954861111111111,0.017361111111111112,0.0954861111111111,0.0954861111111111,0.026041666666666664,0.0954861111111111,0.08680555555555555,0.08680555555555555,0.0954861111111111,0.026041666666666664,0.0954861111111111,0.0954861111111111,0.0954861111111111,0.0954861111111111,0.10416666666666666,0.10416666666666666,0.10416666666666666
25%,0.006944444444444444,0.0763888888888889,0.013888888888888888,0.0763888888888889,0.0763888888888889,0.020833333333333332,0.0763888888888889,0.06944444444444445,0.06944444444444445,0.0763888888888889,0.020833333333333332,0.0763888888888889,0.0763888888888889,0.0763888888888889,0.0763888888888889,0.08333333333333333,0.08333333333333333,0.08333333333333333
30%,0.011574074074074073,0.06944444444444443,0.01736111111111111,0.0636574074074074,0.0636574074074074,0.01736111111111111,0.0636574074074074,0.0636574074074074,0.0636574074074074,0.06944444444444443,0.01736111111111111,0.0636574074074074,0.0636574074074074,0.0636574074074074,0.0636574074074074,0.06944444444444443,0.06944444444444443,0.06944444444444443
35%,0.00992063492063492,0.05952380952380953,0.014880952380952382,0.054563492063492064,0.054563492063492064,0.014880952380952382,0.054563492063492064,0.054563492063492064,0.054563492063492064,0.05952380952380953,0.014880952380952382,0.054563492063492064,0.054563492063492064,0.054563492063492064,0.054563492063492064,0.05952380952380953,0.05952380952380953,0.05952380952380953
40%,0.013020833333333332,0.05208333333333333,0.013020833333333332,0.04774305555555555,0.05208333333333333,0.013020833333333332,0.04774305555555555,0.04774305555555555,0.04774305555555555,0.05208333333333333,0.013020833333333332,0.04774305555555555,0.04774305555555555,0.04774305555555555,0.04774305555555555,0.05208333333333333,0.05208333333333333,0.05208333333333333
45%,0.019290123456790126,0.0462962962962963,0.011574074074074075,0.04243827160493827,0.0462962962962963,0.011574074074074075,0.04243827160493827,0.04243827160493827,0.04243827160493827,0.0462962962962963,0.011574074074074075,0.04243827160493827,0.04243827160493827,0.04243827160493827,0.04243827160493827,0.0462962962962963,0.0462962962962963,0.0462962962962963
50%,0.034722222222222224,0.041666666666666664,0.010416666666666666,0.03819444444444445,0.041666666666666664,0.010416666666666666,0.03819444444444445,0.03819444444444445,0.03819444444444445,0.041666666666666664,0.010416666666666666,0.03819444444444445,0.03819444444444445,0.03819444444444445,0.03819444444444445,0.041666666666666664,0.041666666666666664,0.041666666666666664
